period,draw_date,bonus_name,num1,num2,num3,num4,num5,num6,num7,num8,num9
100000009,2011/2/1,?亦??Ⅳ????,39,29,22,5,34,44,,,
100000009,2011/2/1,?亦??Ⅳ????,39,1,26,18,22,28,,,
100000009,2011/2/1,?亦??Ⅳ????,39,19,11,30,34,49,,,
100000009,2011/2/1,?亦??Ⅳ????,40,6,18,44,33,23,,,
100000009,2011/2/1,?亦??Ⅳ????,40,7,3,47,42,41,,,
100000009,2011/2/1,?亦??Ⅳ????,41,29,31,27,6,48,,,
100000009,2011/2/1,?亦??Ⅳ????,42,20,6,8,48,38,,,
100000009,2011/2/1,?亦??Ⅳ????,44,35,46,4,14,47,,,
100000009,2011/2/1,?亦??Ⅳ????,45,5,22,24,27,10,,,
100000009,2011/2/1,?亦??Ⅳ????,45,32,14,5,15,23,,,
100000009,2011/2/1,?亦??Ⅳ????,45,3,4,1,2,33,,,
100000009,2011/2/1,?亦??Ⅳ????,46,12,9,28,49,3,,,
100000009,2011/2/1,?亦??Ⅳ????,46,48,15,32,18,41,,,
100000009,2011/2/1,?亦??Ⅳ????,47,28,27,43,2,8,,,
100000009,2011/2/1,?亦??Ⅳ????,48,14,15,38,32,49,,,
100000009,2011/2/1,?亦??Ⅳ????,49,33,45,43,6,34,,,
100000009,2011/2/1,?亦??Ⅳ????,49,7,47,29,40,10,,,
100000010,2011/2/4,?亦??Ⅳ????,6,49,9,35,12,33,,,
100000010,2011/2/4,?亦??Ⅳ????,7,25,2,44,8,20,,,
100000010,2011/2/4,?亦??Ⅳ????,8,31,5,21,30,42,,,
100000010,2011/2/4,?亦??Ⅳ????,8,26,41,12,49,4,,,
100000010,2011/2/4,?亦??Ⅳ????,14,11,39,47,43,36,,,
100000010,2011/2/4,?亦??Ⅳ????,26,30,18,28,15,3,,,
100000010,2011/2/4,?亦??Ⅳ????,27,5,25,12,45,15,,,
100000010,2011/2/4,?亦??Ⅳ????,29,22,42,5,40,17,,,
100000010,2011/2/4,?亦??Ⅳ????,29,19,10,30,25,45,,,
100000010,2011/2/4,?亦??Ⅳ????,32,1,25,47,36,30,,,
100000010,2011/2/4,?亦??Ⅳ????,36,43,34,26,8,13,,,
100000010,2011/2/4,?亦??Ⅳ????,43,8,13,33,10,27,,,
100000010,2011/2/4,?亦??Ⅳ????,44,24,13,21,12,35,,,
100000010,2011/2/4,?亦??Ⅳ????,48,31,24,4,30,20,,,
100000010,2011/2/4,?亦??Ⅳ????,48,12,22,45,21,20,,,
100000010,2011/2/4,?亦??Ⅳ????,49,46,44,27,16,21,,,
100000011,2011/2/8,?亦??Ⅳ????,30,19,27,3,5,32,,,
100000011,2011/2/8,?亦??Ⅳ????,39,43,36,1,42,49,,,
101000006,2012/1/20,?亦??Ⅳ????,1,31,32,35,22,9,,,
101000006,2012/1/20,?亦??Ⅳ????,1,14,4,13,15,22,,,
101000006,2012/1/20,?亦??Ⅳ????,1,18,27,38,45,2,,,
101000006,2012/1/20,?亦??Ⅳ????,2,41,25,13,44,1,,,
101000006,2012/1/20,?亦??Ⅳ????,2,36,28,47,29,13,,,
101000006,2012/1/20,?亦??Ⅳ????,5,30,44,22,14,19,,,
101000006,2012/1/20,?亦??Ⅳ????,5,34,31,33,18,30,,,
101000006,2012/1/20,?亦??Ⅳ????,7,42,6,2,49,20,,,
101000006,2012/1/20,?亦??Ⅳ????,7,31,2,9,5,15,,,
